dataset,name,verdict,statistic,expected,note
curated DRIVETEST_LOGS_1,target_is_neighbour,FAIL,"top-1 0.3%, top-3 0.6% (chance 1.4%, n=2300)",top-3 above 70%,handover targets are unrelated to the measured neighbours
curated DRIVETEST_LOGS_1,neighbour_identity,FAIL,16.3% of 326 neighbour IDs are also a serving cell,>60%,serving and neighbour cell identities come from different pools
curated DRIVETEST_LOGS_1,rsrq_identity,FAIL,"std 5.5 dB, range -5..36",near-constant (std < 3 dB),"RSRP, RSRQ and RSSI are not three views of one measurement"
curated DRIVETEST_LOGS_1,value_quantisation,warn,last-decimal-digit spread 0.0143,uneven (instruments quantise); 0.000 means uniform random,
curated DRIVETEST_LOGS_1,gps_kinematics,warn,"8.0% direction reversals/s while moving (n=60087), speed-vs-GPS r=0.52",<5% reversals while moving,
curated DRIVETEST_LOGS_1,sampling_jitter (informational),warn,"1 distinct inter-sample gaps, 100.000% on an exact grid","export rate, not an authenticity signal",
curated DRIVETEST_LOGS_1,handover_gain,pass,"mean +9.7 dB, median +9.7, std 8.7, 86% improve","wide spread, some handovers lose signal",
curated DRIVETEST_LOGS_1,path_loss (informational),warn,+2.7 dB/decade (r=+0.12),"negative, but PCI reuse weakens this test",
real XCAL 10 Sept,target_is_neighbour,pass,"top-1 56.2%, top-3 63.8% (chance 2.4%, n=130)",top-3 above 70%,
real XCAL 10 Sept,neighbour_identity,pass,70.6% of 143 neighbour IDs are also a serving cell,>60%,
real XCAL 10 Sept,rsrq_identity,pass,"std 1.7 dB, range 7..29",near-constant (std < 3 dB),
real XCAL 10 Sept,value_quantisation,pass,last-decimal-digit spread 0.6868,uneven (instruments quantise); 0.000 means uniform random,
real XCAL 10 Sept,gps_kinematics,pass,"0.0% direction reversals/s while moving (n=1915), speed-vs-GPS r=0.65",<5% reversals while moving,
real XCAL 10 Sept,sampling_jitter (informational),warn,"2 distinct inter-sample gaps, 100.000% on an exact grid","export rate, not an authenticity signal",
real XCAL 10 Sept,handover_gain,pass,"mean +0.6 dB, median +1.0, std 8.9, 50% improve","wide spread, some handovers lose signal",
real XCAL 10 Sept,path_loss (informational),warn,-0.9 dB/decade (r=-0.06),"negative, but PCI reuse weakens this test",
real XCAL 12 Sept,target_is_neighbour,pass,"top-1 47.8%, top-3 52.2% (chance 6.7%, n=90)",top-3 above 70%,
real XCAL 12 Sept,neighbour_identity,pass,64.0% of 50 neighbour IDs are also a serving cell,>60%,
real XCAL 12 Sept,rsrq_identity,pass,"std 1.5 dB, range 10..29",near-constant (std < 3 dB),
real XCAL 12 Sept,value_quantisation,pass,last-decimal-digit spread 0.3077,uneven (instruments quantise); 0.000 means uniform random,
real XCAL 12 Sept,gps_kinematics,pass,"0.9% direction reversals/s while moving (n=1137), speed-vs-GPS r=-0.16",<5% reversals while moving,
real XCAL 12 Sept,sampling_jitter (informational),warn,"2 distinct inter-sample gaps, 100.000% on an exact grid","export rate, not an authenticity signal",
real XCAL 12 Sept,handover_gain,pass,"mean +0.9 dB, median +1.0, std 8.1, 54% improve","wide spread, some handovers lose signal",
real XCAL 12 Sept,path_loss (informational),warn,-7.4 dB/decade (r=-0.25),"negative, but PCI reuse weakens this test",
