key,citation,year,venue,data_type,scale,task,split_protocol,grouped_split,prevalence_aware_metric,reports_accuracy_on_imbalanced,calibration_or_uncertainty,event_level_eval,code_released,data_released
A01,"Chou et al., Learning-based RLF Prediction (Railway)",2026,arXiv:2511.08851,REAL-MEASURED,Taipei MRT 10 Hz; 1:500 prevalence,RLF within 1-3 s,NOT STATED,no,no,yes (1:500),no,partial (confirmation policies),yes,no
A02,"Kabeer et al., Sequence-Based DL for Handover Optimization",2025,arXiv:2510.02958,REAL-MEASURED,"30925 records, 132 nodes, 2 km2 Sunway City Malaysia, 3 operators (GNetTrack Pro)",HO decision/prediction,NOT STATED,no,no,not reported,no,KPI only,no,yes (dataset released)
A04,"Dzaferagic et al., ML-Based HO Prediction over Real O-RAN",2024,IEEE TNSM,REAL TESTBED,"11 h, 40000 samples, 4350 HO (10.9%)",HO within next t steps,NOT STATED,no,precision/recall,no,no,no,no,no
A05,"Panitsas et al., Predictive Handover Strategy in 6G",2024,arXiv:2404.08113,SIMULATED,"21/36/51 base stations, 10 GB temporal RSRP, 24 h simulated drive test",target-cell multiclass,80/20 with 10-fold CV (title changed between versions),no,precision/recall,yes,no,no,no,no
A06,"Boutiba et al., Radio Link Failure Prediction in 5G",2021,IEEE GLOBECOM,REAL TESTBED,OpenAirInterface 5G testbed; RSRP/RSRQ/CQI/PHR; LSTM+SVM,RLF 5 steps ahead,"two separate sets, unspecified",no,precision/recall,yes (98.03%),no,no,no,no
A07,"Mandapati, Meta-Continual Mobility Forecasting",2025,arXiv:2512.11841,HYBRID (GeoLife + ray trace),1 Hz resampled trajectories,trajectory + HO label,spatial zone hold-out,YES (spatial),no,no,no,partial (missed-HO rate),no,no
A10,"Chien et al., Privacy-Preserving HO Optimization (FL+LSTM)",2024,Sensors 24(20):6685,"UNVERIFIED ""real-world""",unspecified,RSRP forecast for HO,NOT STATED,no,no,yes (unquantified),no,KPI only,no,no
A11,"Wadud et al., AI-Driven Multi-Modal Adaptive HO Control",2026,arXiv:2603.17158,SIMULATED,"1 O-CU / 3 O-DU / 27 O-RU, 100 users, 7 km2, 30 repeats with 95% CIs",mode/trajectory/RSRP + PPO,NOT STATED for the ML components,no,precision/recall,yes (99.84%),CI over 30 runs,KPI only,no,no
A12,"Amirova et al., Data-Driven ML Analysis of HO Behavior",2026,Future Internet 18(6):290,REAL-MEASURED,"27000 records, 232 HO (0.86%), Astana",HO occurrence,device-level hold-out,YES (device),YES (PR curve + AUC CI),no,bootstrap CI on AUC only,no,on request,no
A13,"Bartsioka et al., Intelligent Dynamic Handover via AI Signal Quality",2025,arXiv:2510.14832,SIMULATED,"2 base stations + 4 WiFi APs, predefined trajectories (Python simulator)",SINR/SNR regression,random 80/20,no,n/a (regression),no,no,HO counts only,no,no
A14,"Sun et al., Proactive HO Type Prediction and Parameter Optimization",2025,IEEE TWC 24(4),SIMULATED,ultra-dense; scale unverified,4-class HO type + DQN,NOT VERIFIED,no,not verified,yes (94.83%),not verified,KPI rates,no,no
A15,"Gonzalez Bermudez et al., GNNs for O-RAN Mobility Management",2025,arXiv:2502.02170,REAL-OPERATOR (Huawei),"169k nodes (100k users, 69k cells), ~35M edges",user-cell link prediction (no time horizon),"random 80/10/10 edge split, structure-preserving",no,yes (AP alongside AUC),no,threshold tuning for imbalance only,no,no,no
A16,"Hasan, Trappenberg & Haque, Generalized Transformer RLF Prediction",2024,arXiv:2407.05197 (journal version IEEE Xplore 11018489),REAL-OPERATOR (Turkcell),1.8M urban + 0.4M rural samples; failures 0.06% / 0.3%,next-day cell-level RLF,"rolling-origin temporal, 5 folds",YES (time) - the only temporal split in the set,no (F1 only),no,no,no,yes (GenTrap),no
A17,"Santana & Dias, Open RAN-Enabled DL-Assisted Mobility Management",2024,arXiv:2412.21161,SIMULATED (OMNeT++/Simu5G) + real traces for seeding,"3 km vehicular corridor, 14-16 m/s",proactive HO from signal-quality forecast,NOT STATED,no,no,no,no,"no (KPI only: CQI, delay, freeze, throughput)",no,no
A22,"Narayana et al., AI-Native Mobility in 6G (dataset paper)",2026,arXiv:2605.12453,"REAL-MEASURED (commercial 5G SA, n78)","117390 measurement reports, 1546 A3 handovers, Chennai",dataset release; HO/beam/TA tasks proposed,n/a - no models trained,n/a,n/a,n/a,n/a,n/a,no,on acceptance
A23,"Wu et al., DL for Moving Blockage Prediction (real mmWave)",2022,arXiv:2101.06886 / IEEE ICC,REAL-MEASURED (mmWave testbed),158 trajectories augmented to 632 sequence pairs,blockage within T_P + time-to-blockage,NOT STATED,no,no,yes (top-1 accuracy),no,no,no,no
A24,"Lee et al., Prediction-Based Conditional Handover (5G mm-Wave)",2020,IEEE Veh. Technol. Magazine 15(1):54-62,SIMULATED,mm-wave cells with blockage model,CHO target prediction,NOT STATED,no,no,no,no,"partial (preparation success rate, signalling overhead)",no,no
A25,"Mehregan & De Grande, TH-GCN Throughput-Oriented Handover (GCN)",2025,arXiv:2505.04894 (IEEE DCOSS-IoT 2025),SIMULATED,dense 5G vehicular; dynamic UE-cell graph,handover target selection,NOT STATED,no,no,no,no,"KPI only (HO count -78%, signal quality +10% vs chosen baselines)",no,no
A26,"Dinh, Fazio & Voznak, Mobility and Resource Prediction for 5G Small Cells",2026,PLOS ONE 21(8):e0355372,SIMULATED (SUMO over a real Singapore map),"several hundred tracked users, 30 primary subjects, 3 travel days",next-cell sequence + resource-block demand,hold-out by travel day,partial (by day),n/a (regression),no,no,no,no,no
A27,"Safiullin et al., RL-Based Handover Algorithm for 5G/6G AI-RAN",2026,Inventions 11(1):8,SIMULATED (ns-3),clustered base stations with overlapping coverage,RL handover trigger policy,n/a (RL),n/a,n/a,n/a,no,"KPI only (HO rate 4x lower, throughput, ping-pong)",no,no
A28,"Deb et al., Conditional Handover under Fading",2024,arXiv:2403.04379,ANALYTICAL + SIMULATED (Python + ns-3),Markov chain over CHO offsets/timers; Rayleigh and Rician,CHO failure/latency/packet loss,n/a (no learning),n/a,n/a,n/a,n/a,"yes (HOF probability, latency, packet loss)",no,no
A29,"Sanchez-Martin et al., GRIMCELL (GNN for new-cell impact)",2026,MAKE 8(9):260,REAL-OPERATOR (commercial LTE-A Pro),55 real deployment events; radio-planning + CM + PM data,post-deployment KPI forecast per cell,"hold-out over deployment events",partial (by event),n/a (regression),no,no,no,no,no
OURS,This work,2026,-,REAL-MEASURED + PUBLIC,"43 drives, 759 signalling-confirmed HO, 4 captures + public dataset",discrete-time hazard 1/2/3/5 s,whole-drive grouped + locked external route + freeze manifest,YES (drive),YES (AUPRC + lift + prevalence floor),no (deliberately excluded),"temperature scaling, isotonic, monotone projection, split conformal, conformal risk control (ensemble arm coded but not re-run on the pooled captures - see MASTER 27)",YES (detection rate + lead time + FA/hour + FA/km),planned,planned
